store_number,store_hostname
012,10.60.12.7
013,10.60.13.7
015,10.60.15.7
016,10.60.16.7
017,10.60.17.7
018,10.60.18.7
019,10.60.19.7
020,10.60.20.7
021,10.60.21.7
022,10.60.22.7
023,10.60.23.7
024,10.60.24.7
025,10.60.25.7
026,10.60.26.7
027,10.60.27.7
028,10.60.28.7
029,10.60.29.7
030,10.60.30.7
031,10.60.31.7
032,10.60.32.7
033,10.60.33.7
034,10.60.34.7
035,10.60.35.7
036,10.60.36.7
037,10.60.37.7
041,10.60.41.7
042,10.60.42.7
044,10.60.44.7
046,10.60.46.7
047,10.60.47.7
048,10.60.48.7
049,10.60.49.7
050,10.60.50.7
054,10.60.54.7
056,10.60.56.7
057,10.60.57.7
059,10.60.59.7
060,10.60.60.7
061,10.60.61.7
062,10.60.62.7
063,10.60.63.7
064,10.60.64.7
066,10.60.66.7
068,10.60.68.7
069,10.60.69.7
070,10.60.70.7
072,10.60.72.7
073,10.60.73.7
074,10.60.74.7
075,10.60.75.7
076,10.60.76.7
077,10.60.77.7
078,10.60.78.7
079,10.60.79.7
080,10.60.80.7
081,10.60.81.7
082,10.60.82.7
083,10.60.83.7
084,10.60.84.7
085,10.60.85.7
086,10.60.86.7
087,10.60.87.7
090,10.60.90.7
091,10.60.91.7
092,10.60.92.7
093,10.60.93.7
095,10.60.95.7
096,10.60.96.7
097,10.60.97.7
098,10.60.98.7
100,10.60.100.7
101,10.60.101.7
103,10.60.103.7
104,10.60.104.7
105,10.60.105.7
106,10.60.106.7
107,10.60.107.7
108,10.60.108.7
109,10.60.109.7
111,10.60.111.7
113,10.60.113.7
114,10.60.114.7
115,10.60.115.7
117,10.60.117.7
118,10.60.118.7
119,10.60.119.7
120,10.60.120.7
121,10.60.121.7
122,10.60.122.7
123,10.60.123.7
124,10.60.124.7
125,10.60.125.7
126,10.60.126.7
127,10.60.127.7
128,10.60.128.7
129,10.60.129.7
131,10.60.131.7
132,10.60.132.7
133,10.60.133.7
134,10.60.134.7
136,10.60.136.7
137,10.60.137.7
138,10.60.138.7
139,10.60.139.7
141,10.60.141.7
142,10.60.142.7
143,10.60.143.7
144,10.60.144.7
145,10.60.145.7
146,10.60.146.7
147,10.60.147.7
149,10.60.149.7
150,10.60.150.7
151,10.60.151.7
153,10.60.153.7
154,10.60.154.7
156,10.60.156.7
157,10.60.157.7
158,10.60.158.7
159,10.60.159.7
160,10.60.160.7
161,10.60.161.7
162,10.60.162.7
163,10.60.163.7
164,10.60.164.7
165,10.60.165.7
166,10.60.166.7
167,10.60.167.7
168,10.60.168.7
169,10.60.169.7
170,10.60.170.7
172,10.60.172.7
173,10.60.173.7
175,10.60.175.7
176,10.60.176.7
177,10.60.177.7
178,10.60.178.7
179,10.60.179.7
180,10.60.180.7
181,10.60.181.7
182,10.60.182.7
183,10.60.183.7
184,10.60.184.7
185,10.60.185.7
186,10.60.186.7
187,10.60.187.7
189,10.60.189.7
190,10.60.190.7
192,10.60.192.7
193,10.60.193.7
194,10.60.194.7
196,10.60.196.7
197,10.60.197.7
198,10.60.198.7
199,10.60.199.7
201,10.60.201.7
202,10.60.202.7
203,10.60.203.7
208,10.60.208.7
209,10.60.209.7
212,10.60.212.7
214,10.60.214.7
216,10.60.216.7
218,10.60.218.7
220,10.60.220.7
222,10.60.222.7
223,10.60.223.7
224,10.60.224.7
225,10.60.225.7
226,10.60.226.7
228,10.60.228.7
229,10.60.229.7
230,10.60.230.7
231,10.60.231.7
233,10.60.233.7
234,10.60.234.7
235,10.60.235.7
236,10.60.236.7
237,10.60.237.7
238,10.60.238.7
239,10.60.239.7
240,10.60.240.7
243,10.60.243.7
244,10.60.244.7
245,10.60.245.7
246,10.60.246.7
247,10.60.247.7
248,10.60.248.7
249,10.60.249.7
250,10.60.250.7
251,10.60.251.7
252,10.60.252.7
257,10.61.2.7
258,10.61.3.7
259,10.61.4.7
261,10.61.6.7
262,10.61.7.7
264,10.61.9.7
265,10.61.10.7
267,10.61.12.7
269,10.61.14.7
272,10.61.17.7
276,10.61.21.7
279,10.61.24.7
280,10.61.25.7
281,10.61.26.7
282,10.61.27.7
283,10.61.28.7
285,10.61.30.7
287,10.61.32.7
291,10.61.36.7
292,10.61.37.7
294,10.61.39.7
295,10.61.40.7
296,10.61.41.7
297,10.61.42.7
300,10.61.45.7
301,10.61.46.7
302,10.61.47.7
303,10.61.48.7
304,10.61.49.7
305,10.61.50.7
306,10.61.51.7
307,10.61.52.7
308,10.61.53.7
309,10.61.54.7
311,10.61.56.7
312,10.61.57.7
313,10.61.58.7
314,10.61.59.7
315,10.61.60.7
316,10.61.61.7
317,10.63.66.7
318,10.61.63.7
319,10.63.69.7
320,10.63.70.7
321,10.63.71.7
322,10.61.67.7
323,10.61.68.7
325,10.61.70.7
326,10.61.71.7
329,10.61.74.7
330,10.61.75.7
331,10.61.76.7
335,10.61.80.7
336,10.61.81.7
337,10.61.82.7
338,10.61.83.7
339,10.61.84.7
340,10.61.85.7
341,10.61.86.7
343,10.61.88.7
345,10.61.90.7
346,10.63.55.7
347,10.61.92.7
348,10.61.93.7
349,10.61.94.7
351,10.62.215.7
352,10.62.212.7
360,10.61.105.7
361,10.61.106.7
363,10.61.108.7
364,10.61.109.7
365,10.61.110.7
366,10.61.111.7
367,10.61.112.7
368,10.61.113.7
369,10.61.114.7
370,10.61.115.7
371,10.61.116.7
372,10.61.117.7
373,10.61.118.7
374,10.61.119.7
376,10.61.121.7
377,10.61.122.7
378,10.61.123.7
379,10.61.124.7
380,10.61.125.7
381,10.61.126.7
385,10.61.130.7
386,10.61.131.7
388,10.63.65.7
389,10.61.134.7
390,10.61.135.7
391,10.61.136.7
392,10.61.137.7
393,10.61.138.7
395,10.61.140.7
505,10.62.195.7
506,10.63.0.7
515,10.62.5.7
516,10.62.6.7
517,10.62.7.7
518,10.62.8.7
519,10.62.9.7
520,10.62.10.7
521,10.62.11.7
522,10.62.12.7
523,10.62.13.7
525,10.62.15.7
526,10.62.16.7
527,10.62.17.7
529,10.62.19.7
530,10.62.20.7
532,10.62.22.7
534,10.62.24.7
536,10.62.26.7
537,10.62.27.7
538,10.62.28.7
539,10.62.29.7
540,10.62.30.7
541,10.62.31.7
544,10.62.34.7
545,10.62.35.7
547,10.62.37.7
555,10.62.45.7
560,10.62.50.7
562,10.62.52.7
563,10.62.53.7
564,10.62.54.7
565,10.62.55.7
566,10.62.56.7
567,10.62.57.7
568,10.63.98.7
569,10.62.59.7
570,10.62.60.7
571,10.62.61.7
572,10.62.62.7
573,10.62.63.7
574,10.62.64.7
576,10.62.66.7
577,10.62.67.7
578,10.62.68.7
579,10.62.69.7
580,10.62.70.7
581,10.62.71.7
582,10.62.72.7
584,10.62.74.7
585,10.62.75.7
586,10.62.76.8
588,10.62.78.7
589,10.62.79.7
590,10.62.80.7
591,10.62.81.7
592,10.62.82.7
593,10.62.83.7
594,10.62.84.7
597,10.62.87.7
598,10.62.88.7
703,10.62.193.7
710,10.62.200.7
711,10.62.201.7
713,10.62.203.7
714,10.62.204.7
730,10.62.220.7
740,10.62.230.7
745,10.62.235.7
747,10.62.237.7
751,10.62.241.7
753,10.62.243.7
756,10.62.246.7
760,10.62.250.7
761,10.62.251.7
762,10.62.252.7
780,10.63.15.7
781,10.63.16.7
792,10.63.27.7
794,10.63.29.7
795,10.63.30.7
796,10.63.31.7
797,10.63.32.7
798,10.63.33.7
822,10.63.57.7
823,10.63.58.7
824,10.63.59.7
825,10.63.60.7
827,10.63.62.7
829,10.63.64.7
833,10.63.68.7
838,10.63.73.7
861,10.63.96.7
875,10.63.110.7
997,10.63.232.7
